"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"156",201112,"일반탄산음료",11,460,1836,5,201541,489,9,NA,NA,"",""
"157",201201,"일반탄산음료",11,481,1836,3,203133,362,11,NA,NA,"",""
"158",201202,"일반탄산음료",11,441,1836,5,186880,377,8,NA,NA,"",""
"159",201203,"일반탄산음료",11,545,1836,11,212945,6556,10,NA,NA,"",""
"160",201204,"일반탄산음료",11,659,1836,18,209151,17042,9,NA,NA,"",""
"161",201205,"일반탄산음료",13,771,1831,24,215673,2095,10,NA,NA,"",""
"162",201206,"일반탄산음료",14,776,1836,28,215525,8865,10,NA,NA,"",""
"163",201207,"일반탄산음료",16,893,1844,29,203590,25076,9,NA,NA,"",""
"164",201208,"일반탄산음료",15,1338,1840,30,228142,32385,9,NA,NA,"",""
"165",201209,"일반탄산음료",14,792,1900,25,223581,23569,10,NA,NA,"",""
"166",201210,"일반탄산음료",14,1222,1900,21,233331,11111,10,NA,NA,"",""
"167",201211,"일반탄산음료",14,833,1900,11,229144,4805,8,NA,NA,"",""
"168",201212,"일반탄산음료",14,727,1900,2,239129,3706,11,NA,NA,"",""
"169",201301,"일반탄산음료",16,432,1888,2,240416,2528,9,NA,NA,"",""
"170",201302,"일반탄산음료",16,447,1888,5,217015,6667,9,NA,NA,"",""
"171",201303,"일반탄산음료",18,623,1944,12,243648,4364,11,NA,NA,"",""
"172",201304,"일반탄산음료",20,1089,1755,15,237340,6727,8,NA,NA,"",""
"173",201305,"일반탄산음료",21,1524,1767,23,245068,17217,10,NA,NA,"",""
"174",201306,"일반탄산음료",21,978,1933,28,236180,7360,11,NA,NA,"",""
"175",201307,"일반탄산음료",20,1036,1930,29,241687,41344,8,NA,NA,"",""
"176",201308,"일반탄산음료",19,1155,1879,31,240142,22284,10,NA,NA,"",""
"177",201309,"일반탄산음료",20,822,1885,26,231662,13699,12,NA,NA,"",""
"178",201310,"일반탄산음료",19,730,1932,21,239981,3011,10,NA,NA,"",""
"179",201311,"일반탄산음료",20,502,1935,12,232854,2944,9,NA,NA,"",""
"180",201312,"일반탄산음료",20,345,1935,5,240458,202,10,NA,NA,"",""
"181",200901,"일반탄산음료",12,622,1508,4,126753,151,12,NA,NA,"",""
